y,Número de caracteres,item,tipo de processamento,processamento,marca (1=sim; 0=não),variedade
abacate,7,abacate,,in natura,x,
abacaxi,7,abacaxi,,in natura,x,
abatido,7,x,,x,x,
abelha,6,abelha,,in natura,x,
abobora,7,abobora,,in natura,x,
abobrinha,9,abobrinha,,in natura,x,
acafrao,7,acafrao,,in natura,x,
acai,4,acai,,in natura,x,
acelga,6,acelga,,in natura,x,
acem,4,carne,,minimamente processado,x,
acerola,7,acerola,,in natura,x,
achocolatado,12,achocolatado,,in natura,x,
acucar,6,acucar,,ingrediente culinario,x,
aditivo,7,x,,x,x,
agriao,6,agriao,,in natura,x,
agua,4,agua,,in natura,x,
agulhinha,9,arroz,,in natura,x,
aipim,5,aipim,,in natura,x,
alcatra,7,carne,,minimamente processado,x,
alface,6,alface,,in natura,x,
alfredense,10,x,,in natura,x,
alho,4,alho,,in natura,x,
alianca,7,x,,x,alianca,
alimentar,9,x,,x,x,
alimenticios,12,x,,x,x,
alimento,8,x,,x,x,
almeirao,8,almeirao,,in  natura,x,
almondega,9,almondega,,ultraprocessado,x,
alum,4,x,,x,x,
amanteigado,11,leite,,processado,x,
amarela,7,x,,x,x,
amarelo,7,x,,x,x,
ameixa,6,ameixa,,in natura,x,
amendoim,8,amendoim,,minimamente processado,x,
americana,9,alface,,in natura,x,
amido,5,x,,x,x,
apirc,5,x,,x,x,
argentina,9,x,,x,x,
arroz,5,arroz,,minimamente processado,x,
aruana,6,x,,x,x,
asa,3,x,,x,x,
assado,6,x,,x,x,
atc,3,x,,x,x,
aurora,6,x,,x,aurora,
azedo,5,x,,x,x,
azevedo,7,x,,x,x,
bacia,5,x,,x,x,
baia,4,x,,x,x,
banana,6,banana,,in natura,x,
bananada,8,doce,,processado,mariola,
bananas,7,banana,,in natura,x,
baroa,5,x,,x,x,
barra,5,barra de cereais,,ultraprocessado,x,
basicas,7,x,,x,x,
batata,6,batata,,in natura,x,
bebida,6,bebida lactea,,ultraprocessado,x,
beef,4,x,,x,x,
beiju,5,tapioca,,minimamente processado,x,
bella,5,x,,x,bella dica,
belo,4,x,,x,x,
bem,3,x,,x,x,
bene,4,x,,x,x,
benef,5,x,,x,x,
benvita,7,x,,x,benvita,
bergamota,9,tangerina,,in natura,x,
berinjela,9,berinjela,,in natura,x,
beterraba,9,beterraba,,in natura,x,
biju,4,tapioca,,minimamente processado,x,
biscoito,8,biscoito,biscoito,biscoito,x,
bisnaga,7,bisnaga,,minimamente processado,x,
bisnaguinha,11,bisnaga,,minimamente processado,x,
boa,3,x,,x,x,
bode,4,x,,x,x,
bolacha,7,bolacha,bolacha,bolacha,x,
bolo,4,bolo,bolo,bolo,x,
bolos,5,bolo,bolo,bolo,x,
bov,3,bovina,,x,x,
bovina,6,bovina,,x,x,
bovinas,7,bovina,,x,x,
bovino,6,bovina,,x,x,
branca,6,x,,x,x,
branco,6,x,,x,x,
brancos,7,x,,x,x,
brasileira,10,x,,x,x,
broa,4,broa,,minimamente processado,x,
brocolis,8,brocolis,,in natura,x,
cabotia,7,abobora,,in natura,x,
cabotian,8,abobora,,in natura,x,
cafe,4,cafe,,minimamente processado,x,
caipira,7,x,,x,x,
caipirao,8,x,,x,x,
caixa,5,x,,x,x,
caixas,6,x,,x,x,
caixinha,8,x,,x,x,
caja,4,caja,,in natura,x,
cajarana,8,cajaran,,in natura,x,
caju,4,caju,,in natura,x,
calabresa,9,embutido,,ultraprocessado,x,
campo,5,x,,x,campo vivo,
canjica,7,canjica,,processado,x,
caprina,7,x,,x,x,
caprino,7,x,,x,x,
caqui,5,caqui,,in natura,x,
cara,4,cara,,in natura,x,
carcaca,7,x,,x,x,
cardapio,8,x,,x,x,
carioca,7,x,,x,x,
